k,Training Error,Testing Error,Leave-one-out Error,
1,0.0,0.0845070422535,0.0387323943662,
3,0.0105633802817,0.0739436619718,0.0246478873239,
5,0.0105633802817,0.0739436619718,0.0246478873239,
7,0.0211267605634,0.056338028169,0.0246478873239,
9,0.0176056338028,0.0669014084507,0.0246478873239,
11,0.0246478873239,0.0598591549296,0.0316901408451,
13,0.0211267605634,0.0598591549296,0.0281690140845,
15,0.0281690140845,0.0633802816901,0.0316901408451,
17,0.0316901408451,0.0669014084507,0.0316901408451,
19,0.0281690140845,0.0704225352113,0.0352112676056,
21,0.0246478873239,0.0739436619718,0.0281690140845,
23,0.0281690140845,0.0669014084507,0.0316901408451,
25,0.0281690140845,0.0669014084507,0.0316901408451,
27,0.0281690140845,0.0669014084507,0.0352112676056,
29,0.0246478873239,0.0669014084507,0.0352112676056,
31,0.0316901408451,0.0669014084507,0.0387323943662,
33,0.0352112676056,0.0739436619718,0.0422535211268,
35,0.0316901408451,0.0704225352113,0.0422535211268,
37,0.0352112676056,0.0669014084507,0.0387323943662,
39,0.0316901408451,0.0669014084507,0.0352112676056,
41,0.0352112676056,0.0633802816901,0.0422535211268,
43,0.0352112676056,0.0633802816901,0.0422535211268,
45,0.0422535211268,0.0774647887324,0.0528169014085,
47,0.0422535211268,0.0739436619718,0.0422535211268,
49,0.0422535211268,0.0774647887324,0.0528169014085,
51,0.0492957746479,0.0774647887324,0.0528169014085,
