k=2,
146992800011.0,
87539782461.4,
87243144250.9,
87043222272.5,
86744340971.1,
86371193889.9,
86008914463.5,
85845080588.5,
85805282565.2,
85793911385.7,
85790484395.7,
85789538708.0,
85788923650.6,
85788697807.6,
85788526936.0,
85788415411.0,
85788305914.5,
85788188634.4,
85788107200.2,
85788038298.8,
85787970945.9,
85787903875.3,
85787857700.1,
85787841898.7,
85787833101.0,
85787818590.2,
85787807441.3,
85787795280.2,
85787789801.8,
85787784408.6,
85787774509.7,
85787766637.1,
85787765733.1,
